state,county_name,fips,total_votes,democrat,other,republican,green,libertarian,pct_dem,pct_rep,pct_other,pct_green,pct_libertarian,leading_party,poor_fair_health,adult_smoking,adult_obesity,poor_physical_health_days,poor_mental_health_days,excessive_drinking,pct_below_18,pct_above_65,pct_nonhispanic_black,pct_native_american,pct_hispanic,pct_females,pct_nonproficient_english,diabetes_prevalence,physical_inactivity,pct_pacific_islander,pct_asian,pct_nonhispanic_white,severe_housing_issues,food_insecurity,social_associations,insufficient_sleep,frequent_physical_distress,frequent_mental_distress,homeownership,traffic_volume,total_deaths,covid_deaths,urban_rural_desc,never,rarely,sometimes,frequently,always,pct_less_than_high_school,pct_high_school_diploma,pct_college_associates,pct_bachelors_or_higher,population,unemployment_rate,median_household_income,poverty
ALABAMA,AUTAUGA,1001,27770,7503,429,19838,NA,NA,0.27018365142239825,0.714368023046453,0.015448325531148721,NA,NA,republican,0.6216629721182374,0.16960042599313044,0.0811913140802563,1.0689873304147228,0.8074948808244965,-0.7895747450050101,0.4607225716141513,-0.7870510103013731,0.7238268689710704,-0.2424533804667259,-0.4832890268099956,0.6847216001650956,-0.3161555197402816,-0.25079162944556355,1.2870163648113986,-0.03096515359983581,-0.11653812372499238,-0.0834170770530699,0.1736344052627898,-0.012793889789871615,0.06862195300891129,0.6887039796217247,0.663454354946583,0.5734213064953497,0.41895484559118223,-0.14710995713570557,1033,130,Medium metro,-0.4602062624833882,-0.16079913575944316,0.2186160657766782,1.3728771584975192,-0.4211401040103814,-0.28478927475285887,-0.0629622605193009,-0.41156345080323753,0.48745077221967087,-0.1359412758392455,-0.8071333700268415,0.1738785144631007,-0.13742535222792218
ALABAMA,BALDWIN,1003,109679,24578,1557,83544,NA,NA,0.22409029987509005,0.7617137282433283,0.014195971881581707,NA,NA,republican,-0.09004851648868711,0.005460282578079925,-0.3406789406884959,0.33213850870051687,0.2268030508216876,0.1417351521854086,-0.13307517606406127,0.2498055162514667,-0.01463419315955891,-0.2046469431768192,-0.3618010902019576,0.7239923140920137,-0.41547508131377303,-0.3493701369476542,-0.15234139664478397,-0.0769878324605441,-0.1417560253681586,0.35252374780224816,-0.06620004329928732,-0.4167979271745687,-0.24678544747563033,0.0633398962739801,0.14835997846314714,0.2425692943410646,0.26460755816981524,-0.1524366272463864,4790,520,Small metro,0.05228183238079806,-0.43124604420075896,-0.4019601490483174,1.813328917478399,-0.4737057635748159,-0.6344029481416125,-0.8810711623356513,0.12965320932922758,1.0452901079961885,0.385199043270952,-0.5006264975976087,0.2869201854542456,0.22994532804920872
ALABAMA,CALHOUN,1015,50983,15216,666,35101,NA,NA,0.29845242531824334,0.6884843967597042,0.013063177922052449,NA,NA,republican,1.0909712742947957,0.8707345909092118,1.0349849335574342,1.2626276893226016,1.0763593456723142,-1.165557299941021,-0.13254015201652325,-0.32928182894017705,0.8292220132585444,-0.23472769205358493,-0.41500019447330544,0.9027824113623291,-0.25472348907415293,1.3264644905878853,0.7604220618396248,-0.03225706808156893,-0.20476026276623752,-0.1964725231543071,-0.02948144810674548,0.6184624186237174,0.47400947027745677,1.9899181216434176,1.1204415393505878,1.1107486139883862,-0.23716408292684496,-0.0688595531797408,3351,494,Small metro,1.2310044505684261,0.4522138567075394,0.1496631530183453,-0.6406165968436434,-0.43428151890149,0.33843509954883205,-0.1738922811045693,0.4842434349332566,-0.3650961371746302,0.03771792925918851,0.15617394332217657,-0.5497814135058524,0.150724637770096
ALABAMA,COFFEE,1031,22275,5076,300,16899,NA,NA,0.22787878787878788,0.7586531986531987,0.013468013468013467,NA,NA,republican,0.3142761677583424,-0.006804704793587967,0.24627097898976805,0.6096442432520438,0.663813304723311,-0.7396270466310182,0.45576478614469246,-0.4913329451381294,0.5730878476611562,-0.12212765485063219,-0.14977272547767234,0.41597318379960135,-0.1151722386727613,0.9814397143305688,0.6024437709480923,0.263852648937848,0.022584118928706303,-0.30393365716511284,-0.38597077776977784,0.2397086335755636,0.5047592186366658,1.0253361564391847,0.555801330778602,0.5584574677353673,-0.8035752976277638,-0.25708703228442453,1105,158,Micropolitan,0.3597746892993098,1.245524788135399,-0.47091306180665027,-0.34173861753518964,-0.27658454020818635,0.11042618212138412,-0.9504024252014437,0.9881348081600333,0.08749049373839383,-0.15203087531224221,-1.0260668503334367,0.10942129791503641,-0.1136732413524231
ALABAMA,COLBERT,1033,27886,8343,340,19203,NA,NA,0.2991823854263788,0.688625116545937,0.012192498027684143,NA,NA,republican,0.628300913915157,0.3295130764548699,-0.4140476806482789,0.8771014275992604,0.688651104155739,-0.893888799695999,-0.3760229566048226,0.14072314656287702,0.48990322476817155,-0.21881901808297408,-0.5042881866967529,0.9475797101193498,-0.4883493872371792,1.0060843412060914,1.620526090026856,-0.06882157074205551,-0.33160202530082317,0.11909080961905748,-0.03041386996240744,0.36595989525828154,0.8817514241285324,0.9401876036230757,0.7470031508888652,0.6889012853282431,0.15396519372198514,-0.17513785620033095,1487,249,Small metro,0.03519889588532517,0.2358563299544868,0.5289041731891757,-0.7664599565524661,0.012526587396203352,0.21683034358752665,0.5194203475533545,-0.2622623031804885,-0.4071972191200276,-0.1406958428745243,-0.06275953698441851,-0.62321019124369,-0.10747090972914737
ALABAMA,COVINGTON,1039,17430,2721,123,14586,NA,NA,0.15611015490533564,0.8368330464716007,0.0070567986230636835,NA,NA,republican,0.9983799936473681,0.49312851953488634,-0.21228364575887565,0.981098838199173,1.226484952139634,-1.274155738207973,-0.05762589014009058,0.38123717804334945,0.24122904163263964,-0.2150298104806933,-0.5712040863845114,0.7571686592770293,-0.47905416164245596,0.7842826993263874,1.4274415122705386,-0.13500384160911502,-0.3738661543631426,0.3563316407934629,-0.22365125813385509,0.34070964292173794,0.17006066069678089,0.6903982429079165,0.8031982267167445,0.9590349442737224,0.31396870332199384,-0.314958308409064,1188,195,Noncore,1.8289072279099767,0.812809734629294,0.1324249248287621,-0.10578231808114688,-0.9993623592191612,0.4904410445004642,0.45008908468756215,0.03633999206500954,-0.7019047927378107,-0.1999230445300854,-0.8071333700268415,-0.7506753721476245,-0.14809148312552514
ALABAMA,CULLMAN,1043,41851,4478,493,36880,NA,NA,0.10699863802537574,0.8812214761893383,0.011779885785285896,NA,NA,republican,0.8122568901577139,0.11960251475237997,0.7415099737183022,0.9803624031743007,1.1950447470427235,-0.8336743003402418,0.11729825382009895,-0.16069170875414174,-0.5446283451289978,-0.22100708272711367,-0.377249703165269,0.3000560172658403,-0.4030935743494707,1.7700677743472935,1.6380792334592484,-0.057024252143702915,-0.30366006628779,0.7855310941324015,-0.34144167251112784,-0.3662974225014819,0.00947312556998831,0.5609291060458511,0.7365833844083866,0.8393635057629457,0.38109874826982393,-0.2824535160415416,2333,320,Micropolitan,0.855179847668023,-1.0622888305638292,2.2010123075787473,0.14590440133649826,-0.8482360879714118,0.7640517454134013,0.006369002346491483,0.5588940087446308,-0.8492585795467023,-0.04837950612299888,-1.0698535463947558,-0.33239358467672764,-0.058369117711547853
ALABAMA,DALE,1045,19738,5170,265,14303,NA,NA,0.2619313000303982,0.724642820954504,0.01342587901509778,NA,NA,republican,1.1596086099249865,0.716943612413974,0.7965365286881394,1.462509647401166,1.0432054554555548,-0.94458876102459155,0.2594457960916686,-0.504493809351882,0.8013040044489683,-0.20098265941189095,-0.21784909834791924,0.4572712456596332,-0.25103538412966603,0.9075058337040007,0.8130814921368023,0.0733142534196277,-0.05054490979355383,-0.377590990687832,-0.05430015991037888,0.7194634279698918,-0.18627562243095117,1.8772131839899946,1.1668272747176494,1.0376298290476145,-1.3597556390421561,-0.3185259197938755,939,108,Micropolitan,0.15477945135363513,0.5423628261879782,-0.057195585256653386,0.19309566122730681,-0.3160087848815123,0.08002499313105785,-0.24322354397036167,0.9508095212543468,-0.4071972191200276,-0.16450182142061923,-0.8071333700268415,-0.7310759615484272,-0.09034401672396553
ALABAMA,DALLAS,1047,17864,12230,110,5524,NA,NA,0.6846171070309002,0.30922525750111957,0.006157635467980296,NA,NA,democrat,2.508373479483645,1.8337694473232324,1.8787254430949376,2.3217164110385733,2.3623364602794523,-1.9608348353866316,0.4993402476592978,-0.25528794780724817,4.270543796281863,-0.26709754548644027,-0.6172645306129728,1.7308102094352065,-0.5704165904419727,0.9321504605795234,-0.08212882291521399,-0.1003291247293706,-0.334220703661859,-2.4171541061096216,1.5572897908473258,3.5222414373262283,0.05408355222824863,2.2328934082963423,2.508975053713396,2.5467031569098975,-1.4093756358460485,-0.24837546455369308,1044,159,Micropolitan,0.25727707032647246,0.30797550553883773,0.6495717705162584,-1.3484854952057712,0.10451649163396383,0.733650556423075,0.25596154866334364,0.11099056587638371,-0.7650564156559072,-0.1972354185507009,1.7324950015296612,-1.496143095008642,-0.07140811032866161
ALABAMA,DEKALB,1049,29356,4281,308,24767,NA,NA,0.14583049461779535,0.8436776127537812,0.010491892628423491,NA,NA,republican,1.6924397344421913,0.9858939788251212,-0.6708382705075193,1.8121489764234693,1.3888491768472226,-1.6051181054630954,0.5767886845249824,-0.42618605672462906,-0.5276441547904843,-0.04194809066608098,0.3750218685591661,0.21248931078828634,0.6477345721369216,0.16816702743832146,0.7604220618396248,0.5152780550365175,-0.3567708530372959,0.20476289974974762,-0.608696210948326,-0.21479590848222035,-0.5321838969943127,0.6671769403875806,1.7995962091397795,1.5800939974002701,-0.02912437721464777,-0.276491495417911,1530,165,Noncore,0.06936476887627094,-0.5754843953694607,-0.2640543235316518,-0.4518515572804096,0.472476108585005,1.7976921710844986,0.020235254919650156,-0.5608645984259859,-0.9439860139238468,-0.09736540654097271,-0.9822801542721178,-0.7892530852636501,0.006473440168152938
