Method,Test Misclassification Errors
Logistic,0.1258741258741259
Ridge,0.13986013986013987
Lasso,0.14685314685314685
Decision Tree,0.9825174825174825
Random Forest,0.14685314685314685
Boosting,0.15384615384615385
